Kökar Bogskär;100921;16;2979;59.51;20.36;4;Sääasemat;1982
Lahti Laune;101152;1401;2965;60.96;25.63;78;Sääasemat;1961
Lappeenranta Hiekkapakka;101252;1716;2919;61.2;28.47;77;Sääasemat;2009
Lappeenranta Konnunsuo;101246;1710;2733;61.04;28.56;46;Sääasemat;1991
Lappeenranta lentoasema;101237;1701;2958;61.04;28.15;105;Sääasemat;1950
Lappeenranta Lepola;101247;1711;2959;61.06;28.21;103;Sääasemat;1995
Lemland Nyhamn;100909;3;2980;59.96;19.95;8;Sääasemat;1958
Lieksa Lampela;101636;3904;2796;63.32;30.05;98;Sääasemat;1946
Liperi Joensuu lentoasema;101608;3801;2929;62.66;29.61;118;Sääasemat;1955
Liperi Tuiskavanluoto;101628;3821;2793;62.55;29.67;78;Sääasemat;1997
Lohja Porla;100974;307;2706;60.24;24.05;37;Sääasemat;1949
Loviisa Orrengrund;101039;510;2992;60.27;26.44;5;Sääasemat;1974
Luhanka Judinsalo;101362;2426;2765;61.7;25.51;80;Sääasemat;1990
Lumparland Långnäs satama;151048;12;2724;60.12;20.3;10;Sääasemat;2012
Maalahti Strömmingsbådan;101481;3020;2781;62.98;20.74;2;Sääasemat;1997
Maarianhamina Länsisatama;151029;26;2997;60.09;19.93;2;Sääasemat;2012
Mikkeli lentoasema;101398;2602;2947;61.69;27.2;99;Sääasemat;1959
Multia Karhila;101536;3317;2927;62.51;24.81;227;Sääasemat;2008
Muonio Alamuonio;101969;8201;2823;67.96;23.68;236;Sääasemat;1946
Muonio Laukukero;101982;8307;2820;68.06;24.03;760;Sääasemat;1996
Muonio Sammaltunturi;101983;8308;2821;67.97;24.12;565;Sääasemat;1991
Mustasaari Valassaaret;101464;3003;2910;63.44;21.07;5;Sääasemat;1895
Mäntsälä Hirvihaara;103794;1440;2774;60.63;25.19;83;Sääasemat;2015
Nurmijärvi geofysiikan observatorio;101149;1321;2983;60.51;24.65;111;Sääasemat;1952
Oulu lentoasema;101786;5401;2875;64.93;25.37;11;Sääasemat;1953
Oulu Oulunsalo Pellonpää;101799;5414;2851;64.94;25.37;10;Sääasemat;2007
Oulu Vihreäsaari satama;101794;5409;2876;65.01;25.39;3;Sääasemat;1996
Parainen Fagerholm;100924;19;2950;60.11;21.7;3;Sääasemat;1989
Parikkala Koitsanlahti;101254;1802;2734;61.44;29.46;74;Sääasemat;1991
Pelkosenniemi Pyhätunturi;101958;7708;2705;67.02;27.22;491;Sääasemat;1995
Pello kk Museotie;101914;7307;2844;66.77;23.96;85;Sääasemat;1970
Pietarsaari Kallan;101660;4108;2920;63.75;22.52;2;Sääasemat;1995
Pirkkala Tampere-Pirkkala lentoasema;101118;1215;2944;61.42;23.62;112;Sääasemat;1979
Pori lentoasema;101044;1001;2952;61.47;21.79;12;Sääasemat;1945
Pori rautatieasema;101064;1021;2926;61.48;21.78;9;Sääasemat;2008
Pori Tahkoluoto satama;101267;2013;2751;61.63;21.38;3;Sääasemat;1996
Porvoo Emäsalo;101023;417;2991;60.2;25.63;20;Sääasemat;1974
Porvoo Harabacka;101028;422;2759;60.39;25.61;22;Sääasemat;2006
Porvoo Kalbådagrund;101022;416;2987;59.99;25.6;0;Sääasemat;1977
Porvoo Kilpilahti satama;100683;424;2994;60.3;25.55;2;Sääasemat;2014
Pudasjärvi lentokenttä;101805;5507;2866;65.4;26.96;120;Sääasemat;1999
Puolanka Paljakka;101831;5716;2859;64.66;28.06;341;Sääasemat;2009
Puumala kk Urheilukenttä;150168;2708;2718;61.52;28.18;98;Sääasemat;2012
Pyhäjärvi Ojakylä;101705;4412;2738;63.74;25.71;152;Sääasemat;1990
Raahe Lapaluoto satama;101785;5311;2872;64.67;24.41;2;Sääasemat;1990
Raahe Nahkiainen;101775;5201;2800;64.61;23.9;0;Sääasemat;1997
Raasepori Jussarö;100965;215;2757;59.82;23.57;17;Sääasemat;1990
Rantasalmi Rukkasluoto;101436;2716;2772;62.06;28.57;79;Sääasemat;1997
Ranua lentokenttä;101873;6514;2881;65.98;26.37;161;Sääasemat;2008
Rauma Kylmäpihlaja;101061;1018;2761;61.14;21.3;4;Sääasemat;1990
Rautavaara Ylä-Luosta;101603;3716;2789;63.38;28.66;166;Sääasemat;1976
Rovaniemi Apukka;101933;7502;2813;66.58;26.01;106;Sääasemat;1939
Rovaniemi lentoasema;101920;7401;2845;66.56;25.82;193;Sääasemat;1951
Rovaniemi rautatieasema;101928;7409;2847;66.5;25.71;85;Sääasemat;1997
Salla kk Myllytie;101959;7709;2849;66.83;28.67;215;Sääasemat;1999
Salla Naruska;101966;7804;2745;67.16;29.18;213;Sääasemat;1999
Salla Värriötunturi;102012;8803;2819;67.75;29.61;360;Sääasemat;1971
Salo Kiikala lentokenttä;100967;217;2777;60.46;23.65;117;Sääasemat;2002
Salo Kärkkä;100955;205;2756;60.37;23.11;2;Sääasemat;1936
Savonlinna lentoasema;101430;2710;2948;61.95;28.93;93;Sääasemat;1974
Savonlinna Punkaharju Laukansaari;101441;2801;2778;61.8;29.32;78;Sääasemat;1905
Savukoski kk;101952;7702;2815;67.29;28.18;180;Sääasemat;1963
Seinäjoki Pelmaa;101486;3101;2833;62.94;22.49;26;Sääasemat;1927
Siikajoki Revonlahti;101787;5402;2803;64.68;25.09;48;Sääasemat;1904
Siilinjärvi Kuopio lentoasema;101570;3601;2917;63.01;27.8;96;Sääasemat;1945
Sipoo Eestiluoto;101029;423;2930;60.12;25.22;13;Sääasemat;2008
Sodankylä Lapin ilmatieteellinen tutkimuskeskus;101932;7501;2836;67.37;26.63;179;Sääasemat;1891
Sodankylä Lokka;102000;8601;2719;67.82;27.75;240;Sääasemat;1958
Sodankylä Vuotso;102001;8602;2816;68.08;27.19;248;Sääasemat;1958
Somero Salkola;101128;1227;2949;60.65;23.81;142;Sääasemat;2010
Sotkamo Kuolaniemi;101756;4714;2739;64.11;28.34;161;Sääasemat;1989
Suomussalmi Pesiö;101826;5711;2889;64.93;28.75;222;Sääasemat;1981
Taivalkoski kk Urheilutie;101885;6707;2804;65.57;28.22;197;Sääasemat;2002
Tampere Härmälä;101124;1222;2763;61.47;23.75;85;Sääasemat;1997
Tampere Siilinkari;101311;2219;2943;61.52;23.75;98;Sääasemat;1989
Tampere Tampella;151049;2223;2744;61.5;23.76;92;Sääasemat;2012
Tohmajärvi Kemie;101459;2902;2832;62.24;30.35;90;Sääasemat;1926
Toholampi Laitala;101689;4314;2737;63.82;24.16;83;Sääasemat;1988
Tornio Torppi;101851;6312;2880;65.85;24.17;8;Sääasemat;2008
Turku Artukainen;100949;118;2773;60.45;22.18;8;Sääasemat;2003
Turku lentoasema;101065;1101;2972;60.52;22.28;45;Sääasemat;1955
Turku Rajakari;100947;116;2747;60.38;22.1;4;Sääasemat;1991
Utsjoki Kevo;102035;9603;2805;69.76;27.01;107;Sääasemat;1962
Utsjoki Kevo Kevojärvi;126737;9618;2890;69.76;27.01;76;Sääasemat;2010
Utsjoki Nuorgam;102036;9604;2825;70.08;27.9;22;Sääasemat;1929
